Sample_TB-2463-31A	TB-2463-31A_S54_L001_R1_001.fastq.gz	TB-2463-31A_S54_L001_R2_001.fastq.gz
Sample_TB-2463-31B	TB-2463-31B_S55_L001_R1_001.fastq.gz	TB-2463-31B_S55_L001_R2_001.fastq.gz
Sample_TB-2463-32A	TB-2463-32A_S56_L001_R1_001.fastq.gz	TB-2463-32A_S56_L001_R2_001.fastq.gz
Sample_TB-2463-32B	TB-2463-32B_S57_L001_R1_001.fastq.gz	TB-2463-32B_S57_L001_R2_001.fastq.gz
Sample_TB-2463-33A	TB-2463-33A_S58_L001_R1_001.fastq.gz	TB-2463-33A_S58_L001_R2_001.fastq.gz
Sample_TB-2463-33B	TB-2463-33B_S59_L001_R1_001.fastq.gz	TB-2463-33B_S59_L001_R2_001.fastq.gz
Sample_TB-2463-34A	TB-2463-34A_S60_L001_R1_001.fastq.gz	TB-2463-34A_S60_L001_R2_001.fastq.gz
Sample_TB-2463-34B	TB-2463-34B_S61_L001_R1_001.fastq.gz	TB-2463-34B_S61_L001_R2_001.fastq.gz
Sample_TB-2463-35A	TB-2463-35A_S62_L001_R1_001.fastq.gz	TB-2463-35A_S62_L001_R2_001.fastq.gz
Sample_TB-2463-35B	TB-2463-35B_S63_L001_R1_001.fastq.gz	TB-2463-35B_S63_L001_R2_001.fastq.gz
Sample_TB-2463-36A	TB-2463-36A_S64_L001_R1_001.fastq.gz	TB-2463-36A_S64_L001_R2_001.fastq.gz
Sample_TB-2463-36B	TB-2463-36B_S65_L001_R1_001.fastq.gz	TB-2463-36B_S65_L001_R2_001.fastq.gz
Sample_TB-2463-37B	TB-2463-37B_S67_L001_R1_001.fastq.gz	TB-2463-37B_S67_L001_R2_001.fastq.gz
Sample_TB-2463-38B	TB-2463-38B_S69_L001_R1_001.fastq.gz	TB-2463-38B_S69_L001_R2_001.fastq.gz
Sample_TB-2463-39B	TB-2463-39B_S71_L001_R1_001.fastq.gz	TB-2463-39B_S71_L001_R2_001.fastq.gz
Sample_TB-2463-40B	TB-2463-40B_S73_L001_R1_001.fastq.gz	TB-2463-40B_S73_L001_R2_001.fastq.gz
Sample_TB-2463-41B	TB-2463-41B_S75_L001_R1_001.fastq.gz	TB-2463-41B_S75_L001_R2_001.fastq.gz
Sample_TB-2463-42B	TB-2463-42B_S77_L001_R1_001.fastq.gz	TB-2463-42B_S77_L001_R2_001.fastq.gz
Sample_TB-2463-43B	TB-2463-43B_S79_L001_R1_001.fastq.gz	TB-2463-43B_S79_L001_R2_001.fastq.gz
Sample_TB-2463-44B	TB-2463-44B_S81_L001_R1_001.fastq.gz	TB-2463-44B_S81_L001_R2_001.fastq.gz
Sample_TB-2463-45B	TB-2463-45B_S83_L001_R1_001.fastq.gz	TB-2463-45B_S83_L001_R2_001.fastq.gz
Sample_TB-2463-46B	TB-2463-46B_S84_L001_R1_001.fastq.gz	TB-2463-46B_S84_L001_R2_001.fastq.gz
Sample_TB-2463-47B	TB-2463-47B_S87_L001_R1_001.fastq.gz	TB-2463-47B_S87_L001_R2_001.fastq.gz
Sample_TB-2463-48B	TB-2463-48B_S89_L001_R1_001.fastq.gz	TB-2463-48B_S89_L001_R2_001.fastq.gz
