unique.ID	lane.ID	group.ID	sample.ID	qc.data.dir	input.read.pair.count	multi.mapped.read.pair.count
Sample_TB-2463-10A	1	A	Sample_TB-2463-10A	/crex/proj/uppstore2017083/nobackup/private/SMS_5123_20_AM_fungi_annotation/scratch/STAR_QC_Disambiguate/Sample_TB-2463-10A_QoRTs	.	.
Sample_TB-2463-11A	1	A	Sample_TB-2463-11A	/crex/proj/uppstore2017083/nobackup/private/SMS_5123_20_AM_fungi_annotation/scratch/STAR_QC_Disambiguate/Sample_TB-2463-11A_QoRTs	.	.
Sample_TB-2463-11B	1	B	Sample_TB-2463-11B	/crex/proj/uppstore2017083/nobackup/private/SMS_5123_20_AM_fungi_annotation/scratch/STAR_QC_Disambiguate/Sample_TB-2463-11B_QoRTs	.	.
Sample_TB-2463-12A	1	A	Sample_TB-2463-12A	/crex/proj/uppstore2017083/nobackup/private/SMS_5123_20_AM_fungi_annotation/scratch/STAR_QC_Disambiguate/Sample_TB-2463-12A_QoRTs	.	.
Sample_TB-2463-12B	1	B	Sample_TB-2463-12B	/crex/proj/uppstore2017083/nobackup/private/SMS_5123_20_AM_fungi_annotation/scratch/STAR_QC_Disambiguate/Sample_TB-2463-12B_QoRTs	.	.
Sample_TB-2463-13B	1	B	Sample_TB-2463-13B	/crex/proj/uppstore2017083/nobackup/private/SMS_5123_20_AM_fungi_annotation/scratch/STAR_QC_Disambiguate/Sample_TB-2463-13B_QoRTs	.	.
Sample_TB-2463-14B	1	B	Sample_TB-2463-14B	/crex/proj/uppstore2017083/nobackup/private/SMS_5123_20_AM_fungi_annotation/scratch/STAR_QC_Disambiguate/Sample_TB-2463-14B_QoRTs	.	.
Sample_TB-2463-15B	1	B	Sample_TB-2463-15B	/crex/proj/uppstore2017083/nobackup/private/SMS_5123_20_AM_fungi_annotation/scratch/STAR_QC_Disambiguate/Sample_TB-2463-15B_QoRTs	.	.
Sample_TB-2463-16B	1	B	Sample_TB-2463-16B	/crex/proj/uppstore2017083/nobackup/private/SMS_5123_20_AM_fungi_annotation/scratch/STAR_QC_Disambiguate/Sample_TB-2463-16B_QoRTs	.	.
Sample_TB-2463-17B	1	B	Sample_TB-2463-17B	/crex/proj/uppstore2017083/nobackup/private/SMS_5123_20_AM_fungi_annotation/scratch/STAR_QC_Disambiguate/Sample_TB-2463-17B_QoRTs	.	.
Sample_TB-2463-18B	1	B	Sample_TB-2463-18B	/crex/proj/uppstore2017083/nobackup/private/SMS_5123_20_AM_fungi_annotation/scratch/STAR_QC_Disambiguate/Sample_TB-2463-18B_QoRTs	.	.
Sample_TB-2463-20B	1	B	Sample_TB-2463-20B	/crex/proj/uppstore2017083/nobackup/private/SMS_5123_20_AM_fungi_annotation/scratch/STAR_QC_Disambiguate/Sample_TB-2463-20B_QoRTs	.	.
