Status	Sample_TB-2463-31A	Sample_TB-2463-31B	Sample_TB-2463-32A	Sample_TB-2463-32B	Sample_TB-2463-33A	Sample_TB-2463-33B	Sample_TB-2463-34A	Sample_TB-2463-34B	Sample_TB-2463-35A	Sample_TB-2463-35B	Sample_TB-2463-36A	Sample_TB-2463-36B	Sample_TB-2463-37B	Sample_TB-2463-38B	Sample_TB-2463-39B	Sample_TB-2463-40B	Sample_TB-2463-41B	Sample_TB-2463-42B	Sample_TB-2463-43B	Sample_TB-2463-44B	Sample_TB-2463-45B	Sample_TB-2463-46B	Sample_TB-2463-47B	Sample_TB-2463-48B
Assigned	2.68576354540573	2.408314424675	1.75562625191469	3.11939053016431	1.59100316807174	1.9466198695618	2.58210228170112	1.5486890786766	1.82835101253616	1.79572527520768	2.30521610447465	2.0608916143651	2.09152437131326	1.4372276453612	1.64537842718765	2.32208169487755	1.43700067241249	1.73207877709022	1.86671426707951	2.49595434801124	2.05751987275723	1.13632037205706	2.10190700604897	1.71425561057844
Unassigned_Unmapped	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Unassigned_Read_Type	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Unassigned_Singleton	76.497979141347	22.2116154235907	53.3675544694955	16.148469221333	49.155522403964	24.6080305927342	20.450759689596	31.0692085425796	47.5630986820958	31.6565656043982	20.7853397816325	16.1535418202744	33.0339646072648	48.0787140836811	44.8428829420456	27.2183219159409	51.1391158082337	34.717737688832	38.3692510486966	24.3444340345797	23.2630415806094	62.9587380986549	25.6905771330058	40.3308397429143
Unassigned_MappingQuality	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Unassigned_Chimera	0.27839801023148	0.664556729646573	0.529198108616247	0.583635006493727	0.828903634061074	0.398124623484114	0.586587767049582	0.547505571015791	0.508646737383478	0.515941774498842	0.508032404229027	0.493980074451058	0.438621546103695	0.478884251434353	0.567394516499754	0.570106278802471	0.647886805795419	0.608398128954203	0.644665206615542	0.49663572097777	0.465735671353775	0.498018761000782	0.668248337745242	0.541741298774277
Unassigned_FragmentLength	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Unassigned_Duplicate	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Unassigned_MultiMapping	20.1372205420989	74.2856933052335	43.8332795426253	79.6555222697828	48.1219031381533	72.5136855339323	75.8062817853495	66.3713228630223	49.8157505625201	65.6769605400087	75.9832639174943	80.8543663567536	63.9153058056504	49.6826601359042	52.6189459858808	69.5549288893832	46.4567540666649	62.6212108368589	58.7273526160775	72.2964824120603	73.6947708719736	35.1834659528544	71.2301262182752	57.0528219716925
Unassigned_Secondary	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Unassigned_NonSplit	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Unassigned_NoFeatures	0.399225573047681	0.429820116854285	0.514341627348221	0.492882914793091	0.302462735197564	0.533277456193195	0.573847303970602	0.463007388926207	0.284153005464481	0.354032118537494	0.417893521696899	0.437107738234395	0.520583669667805	0.322513883619054	0.325398128386144	0.333688831892801	0.318629504806012	0.320446132940835	0.392016861530857	0.365726939783664	0.518753492124979	0.223456815432871	0.309025910634045	0.360341376040459
Unassigned_Overlapping_Length	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Unassigned_Ambiguity	0.00141318786919533	0	0	0.000100057432966523	0.000204920552301873	0.000261924094397444	0.000421172333189433	0.00026655577946241	0	0.00077468734909736	0.0002542704725871	0.000112395921376805	0	0	0	0.000872389102987715	0.000613142087503551	0.000128435323823982	0	0.000766544587343497	0.000178511181047825	0	0.000115394290752071	0
