Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
Sample_TB-2463-36A_XenofilteR.1	-	contig001381	+	9206	9766	43.100510	1287.131714	1934.293823
Sample_TB-2463-36A_XenofilteR.2	-	contig001381	+	12875	13129	789.527527	24048.783203	36140.367188
Sample_TB-2463-36A_XenofilteR.3	-	contig001777	+	13479	13708	5.152174	156.826599	235.678070
Sample_TB-2463-36A_XenofilteR.4	-	contig001976	-	36	260	277.283905	8439.175781	12682.342773
Sample_TB-2463-36A_XenofilteR.5	-	contig002710	-	573	1212	2684.948730	74035.859375	111260.656250
Sample_TB-2463-36A_XenofilteR.6	-	contig002721	+	5201	5854	46.581039	1331.866455	2001.520752
Sample_TB-2463-36A_XenofilteR.7	-	contig002721	+	9159	9420	17.721375	679.169128	1020.651306
Sample_TB-2463-36A_XenofilteR.8	-	contig002715	-	4	425	868.278015	31600.484375	47489.019531
Sample_TB-2463-36A_XenofilteR.9	-	contig002715	-	941	2762	2136.377441	63627.734375	95619.367188
Sample_TB-2463-36A_XenofilteR.10	-	contig002997	+	13297	13533	2950.708252	81490.171875	122462.929688
Sample_TB-2463-36A_XenofilteR.11	-	contig003869	-	7065	7311	356.912720	10031.820312	15075.758789
Sample_TB-2463-36A_XenofilteR.12	-	contig003869	-	8054	8542	405.634033	11440.640625	17192.925781
Sample_TB-2463-36A_XenofilteR.13	-	contig003869	-	11010	11294	346.342102	11949.798828	17958.085938
Sample_TB-2463-36A_XenofilteR.14	-	contig003869	-	11404	11963	49.900341	1419.655762	2133.449951
Sample_TB-2463-36A_XenofilteR.15	-	contig004237	-	1008	1650	2565.555908	70661.578125	106189.789062
Sample_TB-2463-36A_XenofilteR.16	-	contig006570	-	573	1216	2502.397461	69499.398438	104443.281250
Sample_TB-2463-36A_XenofilteR.17	-	contig000693	+	17474	17699	314.784454	9198.769531	13823.854492
Sample_TB-2463-36A_XenofilteR.18	-	contig000878	+	284	536	11.016139	310.567596	466.719116
Sample_TB-2463-36A_XenofilteR.19	-	contig000879	.	8075	8298	0.000094	2533.170654	3806.833740
Sample_TB-2463-36A_XenofilteR.20	-	contig000879	+	8535	8749	565.166077	15295.293945	22985.673828
Sample_TB-2463-36A_XenofilteR.21	-	contig008316	-	151	759	2819.308105	79172.812500	118980.421875
Sample_TB-2463-36A_XenofilteR.22	-	contig008316	+	3482	4379	2726.618408	75381.429688	113282.750000
Sample_TB-2463-36A_XenofilteR.23	-	contig008316	.	4008	4379	3.579301	21835.078125	32813.625000
