Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
Sample_TB-2463-46B_XenofilteR.1	-	contig001381	+	9263	9744	14.046311	931.018066	1824.944336
Sample_TB-2463-46B_XenofilteR.2	-	contig001777	+	13479	13704	3.911505	324.878540	636.813904
Sample_TB-2463-46B_XenofilteR.3	-	contig001976	-	37	262	92.164276	6195.865234	12144.886719
Sample_TB-2463-46B_XenofilteR.4	-	contig002710	-	573	1211	1128.047974	67470.859375	132253.656250
Sample_TB-2463-46B_XenofilteR.5	-	contig002721	+	8967	9420	10.464758	694.414795	1361.164062
Sample_TB-2463-46B_XenofilteR.6	-	contig002715	-	2123	2761	1130.109375	67628.843750	132563.343750
Sample_TB-2463-46B_XenofilteR.7	-	contig003219	+	1072	8379	1.677274	98.598663	193.269150
Sample_TB-2463-46B_XenofilteR.8	-	contig002997	+	13289	13533	1299.793335	77848.031250	152594.593750
Sample_TB-2463-46B_XenofilteR.9	-	contig003869	-	7040	7292	122.401123	7286.091797	14281.904297
Sample_TB-2463-46B_XenofilteR.10	-	contig003869	-	11031	11293	141.411087	10626.861328	20830.347656
Sample_TB-2463-46B_XenofilteR.11	-	contig004237	-	1008	1646	1078.765869	64511.609375	126453.070312
Sample_TB-2463-46B_XenofilteR.12	-	contig006570	-	573	1218	1053.240967	63787.300781	125033.312500
Sample_TB-2463-46B_XenofilteR.13	-	contig000693	+	17475	17696	100.129372	6313.577637	12375.622070
Sample_TB-2463-46B_XenofilteR.14	-	contig008316	+	813	2196	839.777100	56683.378906	111108.484375
Sample_TB-2463-46B_XenofilteR.15	-	contig008316	+	3500	4379	1162.617920	79761.148438	156344.593750
